case_id,eye_id,mode,wavelength_nm,source_demand_D,source_distance_mm,effective_focal_length_mm,axial_length_mm,image_index,reduced_retina_distance_mm,target_diameter_mm,pupil_diameter_mm,external_lens_power_D,external_lens_vertex_distance_mm,conservative_source_diameter_mm,source_mapping_coefficient,pupil_mapping_coefficient,input_sha256
chickm30m45d_baseline_f7p5_a11p7_p3p5_d100_x0_0457aef95a,chick_30_45d,baseline,650,100,10,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.2555555555555564,-0.87574850299401175,0.70808383233532923,0457aef95a6f5927b6f2a776a09117e9132678d4a49cde71008a471e0b0794f2
chickm30m45d_baseline_f7p5_a11p7_p3p5_d110_x0_3594038759,chick_30_45d,baseline,650,110,9.0909090909090917,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.0050505050505052,-0.96332335329341312,0.7956586826347305,35940387594ad54dae68b7ed9fdddfc297c1c656ea3e9a0182db74f3b9fa18f6
chickm30m45d_baseline_f7p5_a11p7_p3p5_d120_x0_4ab466f660,chick_30_45d,baseline,650,120,8.3333333333333339,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,5.7962962962962967,-1.0508982035928143,0.88323353293413165,4ab466f6607468dbfe09c85775a277bfd3bebca422f9bdf5acef65f3fc041cd2
chickm30m45d_baseline_f8_a11p7_p2_d60_x0_ca136e7c5e,chick_30_45d,baseline,650,60,16.666666666666668,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,7.3490028490028498,-0.52544910179640714,0.43076347305389229,ca136e7c5e0f3e6cd5f03ee1b5d44f87dbcc80b5ba0c5e2d93d0fcb5430ccbbf
chickm30m45d_baseline_f8_a11p7_p2_d70_x0_47ad512c13,chick_30_45d,baseline,650,70,14.285714285714286,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,6.5848595848595863,-0.61302395209580829,0.51833832335329344,47ad512c13d476f0626f566d02b7f57ed9c7286549de66528ea13f756de29388
chickm30m45d_baseline_f8_a11p7_p2_d80_x0_b8dafc6d03,chick_30_45d,baseline,650,80,12.5,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,6.011752136752138,-0.70059880239520944,0.60591317365269459,b8dafc6d030d7b7ca2e80bb7cb3ce1a6b0fbfd4677d2c675f030c456af1172b7
chickm30m45d_baseline_f8_a11p7_p2_d90_x0_f4adf1ab37,chick_30_45d,baseline,650,90,11.111111111111111,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.5660018993352329,-0.7881736526946107,0.69348802395209586,f4adf1ab379ca054aaab80abcb166aecc8a20487b2333227cac5a96bbe0b2706
chickm30m45d_baseline_f8_a11p7_p2_d100_x0_7750209baf,chick_30_45d,baseline,650,100,10,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.2094017094017095,-0.87574850299401186,0.78106287425149701,7750209baf4854e44c2f45b38284ce27688d635c1a65c6467e0e267206499da5
chickm30m45d_baseline_f8_a11p7_p2_d110_x0_30103ff2c1,chick_30_45d,baseline,650,110,9.0909090909090917,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,4.9176379176379177,-0.96332335329341312,0.86863772455089827,30103ff2c1341520679fe4a98aab38c77ac2a12a489e6e366b892febd770b176
chickm30m45d_baseline_f8_a11p7_p2_d120_x0_f3cfe9020b,chick_30_45d,baseline,650,120,8.3333333333333339,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,4.6745014245014245,-1.0508982035928143,0.95621257485029953,f3cfe9020bba00e41f13388407f0c02eb41c4db12723446c940168be52ee94f4
