batch_id,case_id,input_sha256,opticstudio_version,api_license_valid,expected_min_y_mm,observed_min_y_mm,expected_max_y_mm,observed_max_y_mm,boundary_error_um,valid_rays,ray_error_count,ray_vignette_count,zos_file,zos_sha256,status,error_type,error_message
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3p5_d60_x0_282eb7d7af","282eb7d7af815d10dbf9b137643055b21cd404516049874a20926ccdc2bbc851","24.1.0",true,-2.745984281437126,-2.7459842814371243,2.745984281437126,2.7459842814371243,1.7763568394002505E-12,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3p5_d60_x0_282eb7d7af.zos","d145710c4c12f822261b9fc6623a6b213ac0f2df36f089bb3ea807b0182daff4",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3p5_d70_x0_050e456459","050e45645955f1d5fe29299d432dc75c0e19d8a12a99fad3b9a964f6c8a95775","24.1.0",true,-3.0509636976047902,-3.0509636976047894,3.0509636976047902,3.0509636976047894,8.8817841970012523E-13,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3p5_d70_x0_050e456459.zos","eed98a9968e4f71ae52178d5574be2cece5c784914e35380c7bee7d07ecdf705",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3p5_d80_x0_52a62b859e","52a62b859eea6e89af89fa411a1e89ce5c03c8bcf2574f366e993463006ba1e7","24.1.0",true,-3.3559431137724545,-3.3559431137724562,3.3559431137724545,3.3559431137724562,1.7763568394002505E-12,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3p5_d80_x0_52a62b859e.zos","f4608edd0dd89ee3ed3f8fd79e66cb34901a450fd3e9106b39ae857e9457949b",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3p5_d90_x0_31c2953a82","31c2953a82d4bd769fec88ebd1f5e31aa9c8d69971618e92cbb0e682a25421c7","24.1.0",true,-3.6609225299401196,-3.6609225299401214,3.6609225299401196,3.6609225299401214,1.7763568394002505E-12,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3p5_d90_x0_31c2953a82.zos","a59935a81666d3dd99c320c62639f6e7f80470a32003bf95b169e07cf8a54ed8",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3p5_d100_x0_0457aef95a","0457aef95a6f5927b6f2a776a09117e9132678d4a49cde71008a471e0b0794f2","24.1.0",true,-3.9659019461077838,-3.9659019461077851,3.9659019461077838,3.9659019461077851,1.3322676295501878E-12,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3p5_d100_x0_0457aef95a.zos","1e2df6a94369de049926034d1e9c01bc3956b6e38bf15bdb528518f336caba66",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3p5_d110_x0_3594038759","35940387594ad54dae68b7ed9fdddfc297c1c656ea3e9a0182db74f3b9fa18f6","24.1.0",true,-4.2708813622754489,-4.2708813622754489,4.2708813622754489,4.2708813622754489,0,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3p5_d110_x0_3594038759.zos","16c485eb4c297de8e7b40132b22742fab6c7b1a78609c11e468879f0f5e76a1e",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3p5_d120_x0_4ab466f660","4ab466f6607468dbfe09c85775a277bfd3bebca422f9bdf5acef65f3fc041cd2","24.1.0",true,-4.5758607784431131,-4.5758607784431149,4.5758607784431131,4.5758607784431149,1.7763568394002505E-12,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3p5_d120_x0_4ab466f660.zos","07f5c5a2f2b4cc0ca46b8bc000343d28e671ffeab8bc6ea4243de348ff5aca8b",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2_d60_x0_ca136e7c5e","ca136e7c5e0f3e6cd5f03ee1b5d44f87dbcc80b5ba0c5e2d93d0fcb5430ccbbf","24.1.0",true,-2.3572193113772455,-2.3572193113772446,2.3572193113772455,2.3572193113772446,8.8817841970012523E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d60_x0_ca136e7c5e.zos","06f295cad52d82371e4c6b5db146ddfc39aaaa01ef7a4138df5c95eeed86cd00",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2_d70_x0_47ad512c13","47ad512c13d476f0626f566d02b7f57ed9c7286549de66528ea13f756de29388","24.1.0",true,-2.5314932634730538,-2.5314932634730543,2.5314932634730538,2.5314932634730543,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d70_x0_47ad512c13.zos","79142c844683a42d38230989f21f0bcbc2168a0000e668c24c045383bdec67f8",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2_d80_x0_b8dafc6d03","b8dafc6d030d7b7ca2e80bb7cb3ce1a6b0fbfd4677d2c675f030c456af1172b7","24.1.0",true,-2.7057672155688621,-2.705767215568863,2.7057672155688621,2.705767215568863,8.8817841970012523E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d80_x0_b8dafc6d03.zos","6422ca6e287dc46497d72333d4dfff916d80f4ef6b07aa8161ace0364c429301",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2_d90_x0_f4adf1ab37","f4adf1ab379ca054aaab80abcb166aecc8a20487b2333227cac5a96bbe0b2706","24.1.0",true,-2.8800411676646709,-2.8800411676646709,2.8800411676646709,2.8800411676646709,0,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d90_x0_f4adf1ab37.zos","a82a0937376d2a189aec3112939163b06face6497f6199e7ca96662756eac41b",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2_d100_x0_7750209baf","7750209baf4854e44c2f45b38284ce27688d635c1a65c6467e0e267206499da5","24.1.0",true,-3.0543151197604788,-3.0543151197604792,3.0543151197604788,3.0543151197604792,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d100_x0_7750209baf.zos","ac586219045d3eb90e349dc6b8ca64421a3126570d43412584306c8d969c716f",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2_d110_x0_30103ff2c1","30103ff2c1341520679fe4a98aab38c77ac2a12a489e6e366b892febd770b176","24.1.0",true,-3.2285890718562875,-3.2285890718562875,3.2285890718562875,3.2285890718562875,0,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d110_x0_30103ff2c1.zos","3840f1877d16fe28526373bf5a73fb4f17bbe0a4c7d0c95bea427483923cc439",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2_d120_x0_f3cfe9020b","f3cfe9020bba00e41f13388407f0c02eb41c4db12723446c940168be52ee94f4","24.1.0",true,-3.4028630239520958,-3.4028630239520954,3.4028630239520958,3.4028630239520954,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d120_x0_f3cfe9020b.zos","92f26d13c46b12224f11cb15b639511bf47ea1545c1ccb80e90cb6c2601085a1",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2p5_d60_x0_ac620eadcd","ac620eadcdbf5e6d6c00ad95bc1166e8af79398c622dec3a177a4f906e66bf66","24.1.0",true,-2.5715241392215571,-2.5715241392215562,2.5715241392215571,2.5715241392215562,8.8817841970012523E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2p5_d60_x0_ac620eadcd.zos","003cf921683e895334ba4f993a84258b61b4627b58b2c34c2111859a4883c6da",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f8_a11p7_p2p5_d70_x0_3bed0d890e","3bed0d890e97f8f6b056299533c224ac691a9fe5b6f0f5c45bf84c4386131056","24.1.0",true,-2.7893665793413174,-2.7893665793413174,2.7893665793413174,2.7893665793413174,0,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2p5_d70_x0_3bed0d890e.zos","bbb94f4fa8ab49569a444e3c10753e256a3302f1dcc043eef9d1309a0cb2c85e",OK,,
