case_id,input_sha256,expected_min_y_mm,expected_max_y_mm,expected_valid_rays,boundary_tolerance_um
chickm30m45d_baseline_f8_a11p7_p3_d70_x0_3d9011b821,3d9011b8215acbe25de1403fb34fdf1f686aff9b5ba1f56f8dd9e2f5f19d4cb2,-3.0472398952095805,3.0472398952095805,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3_d80_x0_9b84e183e4,9b84e183e4a8ec6e1e03f0794a9e790969a7aeb54911796d025eafd90f912dd9,-3.3086508233532932,3.3086508233532932,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3_d90_x0_2213ebe6b3,2213ebe6b348b6bb1acfc78f52e2ded374a234cfef16f038ab561dcd74587d6b,-3.5700617514970059,3.5700617514970059,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3_d100_x0_79d94bd3d8,79d94bd3d89ce8aba4dccac86c47be9caccf214dacb801558a64144357da81f4,-3.8314726796407186,3.8314726796407186,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3_d110_x0_6cb0c3e27e,6cb0c3e27ee48e3788a1cab8508399a5a1fc0b92ca8ce5f2f11f6d609fff6abd,-4.0928836077844313,4.0928836077844313,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3_d120_x0_f991f74a52,f991f74a52d7758a7884d51276b239b1ea3ff83b81b82c227b17e94e164f2d34,-4.354294535928144,4.354294535928144,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3p5_d60_x0_a80e2d62c9,a80e2d62c9ab4ba560a15d41968134fa43978d672183ab659205ec072acd1f3e,-3.0001337949101803,3.0001337949101803,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3p5_d70_x0_e1a3a1a14a,e1a3a1a14a88010c07b53bb1ff6f6f17deeb041e4fae41bfe40ffc0bc119430f,-3.3051132110778445,3.3051132110778445,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3p5_d80_x0_75b324144e,75b324144eba3c4f4707f2f0d394d5b2929e1000c7d67b90a97e7a89a828b273,-3.6100926272455087,3.6100926272455087,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3p5_d90_x0_be74fb4d5a,be74fb4d5a471c4ae43b3b7ada3a66a09c317416d760034405cad02fc59fe103,-3.9150720434131738,3.9150720434131738,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3p5_d100_x0_e39f603300,e39f6033008930928dcddd70419e818487dd0e45b2a3b52e51fe35130cb7bc4f,-4.220051459580838,4.220051459580838,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3p5_d110_x0_0b47c95dbe,0b47c95dbe2024c4882b9090195c6072e764d348fa3b7c5aef52f5fa4a6714a0,-4.5250308757485032,4.5250308757485032,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3p5_d120_x0_e87d8827dc,e87d8827dc6c0c0a397741d09240d2d30e4591c93e49bc307b9392b45bfff758,-4.8300102919161683,4.8300102919161683,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2_d60_x0_a8182e75a4,a8182e75a483ad0376c066752facd8bd4b18adc2b60dc5baa0a429bbe6b6a3c1,-2.4853619232123987,2.4853619232123987,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2_d70_x0_1b5c771e61,1b5c771e61689cd0f170477f8cc3f133648f6bfb3b3f62d34a8be6230f2bc370,-2.659635875308207,2.659635875308207,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2_d80_x0_a7fd0b1519,a7fd0b15196113d7296dac290f38f823d0ac080b6a3c96b7510f1940816ee46f,-2.8339098274040153,2.8339098274040153,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2_d90_x0_c6481c3468,c6481c346803fa210633bdeacae2cd988001167034611c0df4480d843f5f09a1,-3.0081837794998241,3.0081837794998241,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2_d100_x0_ed386ce771,ed386ce771f5444f294355182108d81169eda63f7659eb6acb008a1dfcc27710,-3.1824577315956324,3.1824577315956324,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2_d110_x0_b58a960ba3,b58a960ba3b81244f700dd0f294666c366ce377f4771fd0810d4d7bda87ab342,-3.3567316836914407,3.3567316836914407,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2_d120_x0_a86072db34,a86072db34e43d44f348c90c8de3f310fb8fc39fa9326bd64678afa86ed633c3,-3.531005635787249,3.531005635787249,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2p5_d60_x0_ef77b99ba1,ef77b99ba119c1cba97eea34c3ddfa618e803daa219d00085d5ee71cfbae1642,-2.7317024040154987,2.7317024040154987,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2p5_d70_x0_17145fe6f0,17145fe6f0fc48564b7261ffe112daa667b8f087246423182cbf1972877bdc4d,-2.9495448441352585,2.9495448441352585,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2p5_d80_x0_5a82646b2c,5a82646b2cc080bb09ac0397764dbeca0efbb144cb264503057e028bfe07ecfb,-3.1673872842550188,3.1673872842550188,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2p5_d90_x0_f2813b50b3,f2813b50b3b35dd5b5e6792bfe0ebfff6cb18bea1592be404fe57dcc76a24530,-3.3852297243747804,3.3852297243747804,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2p5_d100_x0_80d5764542,80d57645420ff1723930b0e2d896f31b9dbf2e87c207334cdc3e6b305e65b1c4,-3.6030721644945407,3.6030721644945407,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2p5_d110_x0_b3cf0272d1,b3cf0272d10c7daf8edb4e81c7fe18ce70e00825ff756d6e261ed4a051fd19d9,-3.820914604614301,3.820914604614301,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p2p5_d120_x0_7c850a9160,7c850a9160dce3d0a3f94e2bfe4947186c8d54bb31bc6b6deac1bf814bfa2831,-4.0387570447340622,4.0387570447340622,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3_d60_x0_ade7a887e1,ade7a887e137c1582eef987fb6783f92314fd5c1d4608de8bd81141cc2b81596,-2.9780428848185987,2.9780428848185987,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3_d70_x0_59fc0acab0,59fc0acab0a01c6824678f9c76d6d4366d1d3dd63fe74e4dc40735e20e2da03e,-3.2394538129623109,3.2394538129623109,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3_d80_x0_14cabd4d9f,14cabd4d9f62fe3a4414e9fff599294b9c792faf028dc5a55a81e0d7a26efa05,-3.5008647411060236,3.5008647411060236,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3_d90_x0_ff1e30342b,ff1e30342b55554ba09bda9d570fb2f98f2361491a4cc3a2d7a086506f609fe4,-3.7622756692497359,3.7622756692497359,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3_d100_x0_15907717ba,15907717bab6263e4f7057a878facd912433eaa93fc632752e597a6af77310c2,-4.0236865973934481,4.0236865973934481,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3_d110_x0_b6f5b1b04b,b6f5b1b04b0b75385d4dbd2998a934ea26901decfb8decd0a2e2ce7548a0d19a,-4.2850975255371608,4.2850975255371608,4,0.00001
