eye_id,eye_label,source_demand_D,source_distance_mm,posterior_pole_diameter_mm,reported_axial_length_mm,image_medium_refractive_index,external_lens_D,sweep_role,fixed_focal_length_mm,fixed_eye_power_D,pupil_diameter_mm,reduced_retina_distance_mm,focus_object_demand_D,retinal_defocus_D,source_mapping_coefficient,pupil_mapping_coefficient,pupil_blur_diameter_mm,geometric_min_source_diameter_mm,geometric_min_source_area_mm2,conservative_source_diameter_mm,conservative_source_area_mm2,geometric_coverage_margin_um,conservative_plateau_margin_um,pupil_blur_alone_covers_target,maximum_source_pupil_ray_angle_deg,small_angle_linearization_error_percent,working_f_number,paraxial_screening_angle_limit_deg,paraxial_screening_min_f_number,paraxial_screening_pass,model_domain,real_experiment_readiness
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2,8.75748503,10.81196581,59.18803419,-0.6130239521,0.5183383234,1.036676647,3.202686203,8.055985188,6.584859585,34.05515948,0,0,False,16.72395105,2.940194681,4,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2,8.75748503,10.81196581,69.18803419,-0.7005988024,0.6059131737,1.211826347,2.552350427,5.116470605,6.011752137,28.38520364,0,0,False,17.76910036,3.334344373,4,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2,8.75748503,10.81196581,79.18803419,-0.7881736527,0.693488024,1.386976048,2.046533713,3.289483316,5.566001899,24.33193131,0,0,False,18.80217275,3.751301567,4,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2,8.75748503,10.81196581,89.18803419,-0.875748503,0.7810628743,1.562125749,1.641880342,2.117253637,5.209401709,21.31403025,0,0,False,19.82271654,4.1906365,4,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2,8.75748503,10.81196581,99.18803419,-0.9633233533,0.8686377246,1.737275449,1.310800311,1.349469125,4.917637918,18.99341156,0,0,False,20.83032274,4.651907706,4,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2,8.75748503,10.81196581,109.1880342,-1.050898204,0.9562125749,1.91242515,1.034900285,0.8411760412,4.674501425,17.16170665,0,0,False,21.82462461,5.134663829,4,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2.5,8.75748503,10.81196581,49.18803419,-0.5254491018,0.4307634731,1.076908683,3.659900285,10.52030637,7.758903134,47.28142327,0,0,False,17.10664324,3.081331123,3.2,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2.5,8.75748503,10.81196581,59.18803419,-0.6130239521,0.5183383234,1.295845808,2.77991453,6.06949794,7.007631258,38.56846581,0,0,False,18.40574505,3.58803728,3.2,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2.5,8.75748503,10.81196581,69.18803419,-0.7005988024,0.6059131737,1.514782934,2.119925214,3.529644465,6.44417735,32.61556075,0,0,False,19.68553798,4.129968698,3.2,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2.5,8.75748503,10.81196581,79.18803419,-0.7881736527,0.693488024,1.73372006,1.60660019,2.027241599,6.005935423,28.33030159,0,0,False,20.9452015,4.70626899,3.2,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
